ANO_MES;PRODUTO;NÚMERO DE POSTOS PESQUISADOS (MÉDIA);UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO
2004-05;ETANOL HIDRATADO;11530,0;R$/l;1,2868;0,2565;0,59;2,4;0,3799;0,1994;0,9069;0,1865;0,326;1,891;0,2056
2004-06;ETANOL HIDRATADO;11553,0;R$/l;1,3562;0,2375;0,639;2,4;0,3834;0,1751;0,9728;0,1816;0,34;1,871;0,1867
2004-07;ETANOL HIDRATADO;11563,0;R$/l;1,3812;0,2348;0,699;2,4;0,3671;0,17;1,0141;0,1846;0,38;1,847;0,182
2004-08;ETANOL HIDRATADO;11543,0;R$/l;1,4593;0,2251;0,69;2,32;0,3496;0,1543;1,1098;0,1888;0,379;1,897;0,1701
2004-09;ETANOL HIDRATADO;11542,0;R$/l;1,4852;0,2326;0,81;2,25;0,3323;0,1566;1,1529;0,1967;0,436;1,897;0,1706
2004-10;ETANOL HIDRATADO;11534,0;R$/l;1,5258;0,2136;0,81;2,484;0,3322;0,14;1,1936;0,1853;0,436;1,878;0,1553
2004-11;ETANOL HIDRATADO;11470,0;R$/l;1,4446;0,218;0,99;2,372;0,2695;0,1509;1,1751;0,1892;0,466;2,085;0,161
2004-12;ETANOL HIDRATADO;11475,0;R$/l;1,4794;0,2399;1,05;2,372;0,2761;0,1622;1,2033;0,2196;0,466;1,993;0,1825
2005-01;ETANOL HIDRATADO;11523,0;R$/l;1,4615;0,2473;0,979;2,372;0,2777;0,1692;1,1838;0,2275;0,741;2,027;0,1922
2005-02;ETANOL HIDRATADO;11500,0;R$/l;1,4491;0,2535;0,99;2,372;0,2077;0,1749;1,2414;0,237;0,48;2,088;0,1909
2005-03;ETANOL HIDRATADO;11497,0;R$/l;1,4439;0,2512;0,99;2,372;0,2076;0,1739;1,2364;0,2316;0,48;2,005;0,1874
2005-04;ETANOL HIDRATADO;11499,0;R$/l;1,4501;0,2584;0,99;2,372;0,2065;0,1782;1,2437;0,2349;0,48;1,966;0,1889
2005-05;ETANOL HIDRATADO;11490,0;R$/l;1,3618;0,3029;0,76;2,385;0,2237;0,2224;1,1381;0,2953;0,542;1,995;0,2595
2005-06;ETANOL HIDRATADO;11523,0;R$/l;1,214;0,3274;0,759;2,385;0,2087;0,2697;1,0053;0,2889;0,512;1,975;0,2873
2005-07;ETANOL HIDRATADO;11514,0;R$/l;1,2531;0,294;0,789;2,385;0,2076;0,2346;1,0456;0,2559;0,587;1,985;0,2447
2005-08;ETANOL HIDRATADO;10786,0;R$/l;1,271;0,286;0,799;2,385;0,207;0,225;1,064;0,2502;0,557;1,991;0,2351
2005-09;ETANOL HIDRATADO;7310,0;R$/l;1,3001;0,2631;0,799;2,399;0,2659;0,2024;1,0341;0,2178;0,506;1,897;0,2106
2005-10;ETANOL HIDRATADO;9657,0;R$/l;1,4319;0,2257;0,949;2,372;0,2284;0,1576;1,2035;0,1993;0,701;1,986;0,1656
2005-11;ETANOL HIDRATADO;11150,0;R$/l;1,4499;0,2327;1,09;2,41;0,1939;0,1605;1,256;0,2064;0,82;2,067;0,1644
2005-12;ETANOL HIDRATADO;11264,0;R$/l;1,5309;0,2283;1,089;2,55;0,2008;0,1492;1,3301;0,1998;0,82;2,166;0,1502
2006-01;ETANOL HIDRATADO;11601,0;R$/l;1,6934;0,2313;1,149;2,62;0,2097;0,1366;1,4837;0,2004;0,99;2,19;0,1351
2006-02;ETANOL HIDRATADO;10834,0;R$/l;1,7396;0,2381;1,29;2,7;0,204;0,1369;1,5356;0,2128;1,05;2,211;0,1386
2006-03;ETANOL HIDRATADO;10858,0;R$/l;1,9523;0,2441;1,399;2,91;0,2522;0,125;1,7001;0,214;1,145;2,692;0,1259
2006-04;ETANOL HIDRATADO;10847,0;R$/l;1,9416;0,2851;1,179;3,15;0,2239;0,1468;1,7177;0,2693;1,035;2,952;0,1568
2006-05;ETANOL HIDRATADO;10771,0;R$/l;1,7104;0,3578;1,089;3,15;0,2286;0,2092;1,4818;0,3589;0,9;2,925;0,2422
2006-06;ETANOL HIDRATADO;10899,0;R$/l;1,5577;0,3409;1,089;2,87;0,2193;0,2188;1,3384;0,3164;0,875;2,692;0,2364
2006-07;ETANOL HIDRATADO;11025,0;R$/l;1,5705;0,3066;1,08;3,15;0,2224;0,1953;1,348;0,272;0,89;2,692;0,2017
2006-08;ETANOL HIDRATADO;11097,0;R$/l;1,5768;0,2978;1,06;3,15;0,2241;0,1889;1,3527;0,2753;0,842;2,312;0,2036
2006-09;ETANOL HIDRATADO;11077,0;R$/l;1,5179;0,3194;0,979;2,8;0,2472;0,2104;1,2707;0,2981;0,83;2,3;0,2346
2006-10;ETANOL HIDRATADO;9786,0;R$/l;1,4662;0,3203;0,979;2,8;0,2495;0,2185;1,2167;0,2827;0,8;2,287;0,2323
2006-11;ETANOL HIDRATADO;9766,0;R$/l;1,4479;0,3064;0,99;2,89;0,2416;0,2116;1,2063;0,2573;0,8;2,22;0,2133
2006-12;ETANOL HIDRATADO;9961,0;R$/l;1,4494;0,2893;0,999;2,8;0,2392;0,1996;1,2102;0,2394;0,868;2,235;0,1979
2007-01;ETANOL HIDRATADO;10586,0;R$/l;1,5446;0,2374;1,09;2,8;0,2354;0,1537;1,3092;0,2048;0,899;2,305;0,1564
2007-02;ETANOL HIDRATADO;11575,0;R$/l;1,5465;0,2401;1,129;2,8;0,2391;0,1553;1,3073;0,2203;0,82;2,305;0,1685
2007-03;ETANOL HIDRATADO;11553,0;R$/l;1,5399;0,2403;1,099;2,8;0,235;0,1561;1,3048;0,216;0,97;2,306;0,1655
2007-04;ETANOL HIDRATADO;11500,0;R$/l;1,6325;0,2242;1,159;2,78;0,2195;0,1373;1,413;0,1933;1,09;2,311;0,1368
2007-05;ETANOL HIDRATADO;11430,0;R$/l;1,6275;0,2394;1,09;2,78;0,2535;0,1471;1,3739;0,2498;0,74;2,311;0,1818
2007-06;ETANOL HIDRATADO;11447,0;R$/l;1,4698;0,2787;0,85;2,78;0,3193;0,1896;1,1505;0,2998;0,689;2,314;0,2606
2007-07;ETANOL HIDRATADO;11465,0;R$/l;1,3527;0,2893;0,85;2,78;0,298;0,2139;1,0548;0,2728;0,685;2,314;0,2587
2007-08;ETANOL HIDRATADO;9567,0;R$/l;1,3065;0,2963;0,85;2,8;0,2748;0,2268;1,0317;0,2544;0,69;2,314;0,2466
