PRODUTO,MES,NÚMERO DE POSTOS PESQUISADOS,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
ETANOL HIDRATADO,2004-05,46141,1.29325,0.2505,0.59,2.4,0.3815,0.194,0.9117500000000001,0.184,0.3257,1.8908,0.202
ETANOL HIDRATADO,2004-06,46196,1.36475,0.23925,0.669,2.4,0.38225,0.17525,0.9824999999999999,0.18225,0.3797,1.8713,0.18525
ETANOL HIDRATADO,2004-07,46267,1.38125,0.23299999999999998,0.699,2.4,0.3655,0.16899999999999998,1.01575,0.18375,0.3797,1.8465,0.181
ETANOL HIDRATADO,2004-08,57699,1.4618,0.22480000000000003,0.69,2.32,0.348,0.1538,1.1138,0.18719999999999998,0.3792,1.8965,0.16820000000000002
ETANOL HIDRATADO,2004-09,46186,1.486,0.2325,0.81,2.25,0.332,0.1565,1.154,0.1965,0.4357,1.8965,0.17025
ETANOL HIDRATADO,2004-10,57639,1.5016,0.2068,0.869,2.484,0.319,0.13820000000000002,1.1826,0.1808,0.43577,1.8779,0.153
ETANOL HIDRATADO,2004-11,45858,1.4665000000000001,0.21925,0.999,2.372,0.27275,0.14925,1.19375,0.1905,0.466,2.0852,0.1595
ETANOL HIDRATADO,2004-12,45897,1.4777500000000001,0.24075,1.05,2.372,0.277,0.16275,1.20075,0.22175,0.466,1.9933,0.1845
ETANOL HIDRATADO,2005-01,57616,1.4600000000000002,0.24820000000000003,0.979,2.372,0.2684,0.16999999999999998,1.1916,0.2286,0.7408,2.0269,0.19180000000000003
ETANOL HIDRATADO,2005-02,45970,1.4475,0.2535,0.99,2.372,0.20625,0.175,1.24125,0.23625,0.47995,2.0875,0.19025
ETANOL HIDRATADO,2005-03,46002,1.444,0.25075000000000003,0.99,2.372,0.20775,0.1735,1.23625,0.231,0.47998,2.0045,0.187
ETANOL HIDRATADO,2005-04,45994,1.4505,0.259,0.999,2.372,0.2065,0.1785,1.244,0.23525000000000001,0.47998,1.9659,0.189
ETANOL HIDRATADO,2005-05,57457,1.3486,0.2974,0.76,2.385,0.2226,0.2222,1.126,0.28759999999999997,0.54209,1.9947,0.25739999999999996
ETANOL HIDRATADO,2005-06,46109,1.2085,0.327,0.759,2.385,0.20775,0.2705,1.00075,0.2865,0.51232,1.97422,0.28625
ETANOL HIDRATADO,2005-07,57560,1.2596,0.29019999999999996,0.82,2.385,0.2062,0.2306,1.0534,0.2524,0.58741,1.98458,0.2398
ETANOL HIDRATADO,2005-08,18306,1.2675,0.285,0.799,2.385,0.227,0.225,1.0405,0.241,0.5568,1.99123,0.23149999999999998
ETANOL HIDRATADO,2005-09,29437,1.3034999999999999,0.25775000000000003,0.87,2.399,0.26675000000000004,0.19825,1.03675,0.21375,0.5055,1.8895,0.20675
ETANOL HIDRATADO,2005-10,49138,1.4347999999999999,0.2238,0.949,2.372,0.22399999999999998,0.156,1.2108,0.19519999999999998,0.701,1.9857,0.16160000000000002
ETANOL HIDRATADO,2005-11,44777,1.45,0.2355,1.09,2.41,0.19275,0.1625,1.25725,0.20925,0.83,2.0666,0.1665
ETANOL HIDRATADO,2005-12,45062,1.53975,0.222,1.089,2.55,0.202,0.14425,1.33775,0.1925,0.8204,2.1655,0.14400000000000002
ETANOL HIDRATADO,2006-01,58057,1.6954,0.2298,1.149,2.62,0.2082,0.13540000000000002,1.4872,0.199,0.9898,2.1896,0.1336
ETANOL HIDRATADO,2006-02,42783,1.76,0.23225,1.299,2.7,0.21175,0.13225,1.54825,0.20875,1.0498,2.2109,0.13524999999999998
ETANOL HIDRATADO,2006-03,43442,1.96725,0.24425,1.45,2.91,0.25175,0.124,1.7155,0.21075,1.145,2.6921,0.12275
ETANOL HIDRATADO,2006-04,54204,1.924,0.2932,1.179,3.15,0.2234,0.1528,1.7006000000000001,0.27880000000000005,1.0349,2.9522,0.1646
ETANOL HIDRATADO,2006-05,43014,1.669,0.35075,1.089,3.15,0.229,0.21025,1.44,0.3525,0.9,2.925,0.245
ETANOL HIDRATADO,2006-06,43697,1.5535,0.33875,1.089,2.84,0.2195,0.218,1.334,0.31225,0.8745,2.6921,0.23399999999999999
ETANOL HIDRATADO,2006-07,55132,1.5746,0.3036,1.08,3.15,0.2218,0.1926,1.3527999999999998,0.26880000000000004,0.8992,2.3213,0.1988
ETANOL HIDRATADO,2006-08,44446,1.57225,0.29874999999999996,1.06,2.8,0.22625,0.19,1.346,0.27825,0.8417,2.3121,0.20700000000000002
ETANOL HIDRATADO,2006-09,44288,1.51525,0.3195,0.979,2.8,0.24775,0.211,1.2675,0.2975,0.8297,2.3,0.235
ETANOL HIDRATADO,2006-10,48889,1.4644,0.31920000000000004,0.979,2.8,0.24900000000000003,0.21800000000000003,1.2154,0.2806,0.7997,2.2865,0.2306
ETANOL HIDRATADO,2006-11,39106,1.447,0.30525,0.99,2.89,0.241,0.21125,1.206,0.2555,0.7997,2.22,0.212
ETANOL HIDRATADO,2006-12,49854,1.4594,0.28159999999999996,0.999,2.8,0.23979999999999996,0.19319999999999998,1.2196,0.2338,0.868,2.2352,0.192
ETANOL HIDRATADO,2007-01,43060,1.553,0.2335,1.099,2.8,0.23325,0.1505,1.31975,0.202,0.8992,2.3049,0.153
ETANOL HIDRATADO,2007-02,46286,1.5455,0.24075,1.129,2.8,0.24075,0.15575,1.30475,0.221,0.82,2.3049,0.16925
ETANOL HIDRATADO,2007-03,46214,1.53975,0.23975,1.099,2.8,0.23425,0.156,1.3054999999999999,0.21475,0.97,2.3055,0.16475
ETANOL HIDRATADO,2007-04,57500,1.6366,0.22240000000000001,1.159,2.78,0.22000000000000003,0.1358,1.4166,0.19319999999999998,1.0895,2.311,0.136
ETANOL HIDRATADO,2007-05,45664,1.617,0.241,1.09,2.78,0.262,0.14925,1.355,0.2515,0.74,2.311,0.18675
ETANOL HIDRATADO,2007-06,45798,1.463,0.27575,0.85,2.78,0.321,0.18875,1.142,0.2955,0.6891,2.3141,0.25925
ETANOL HIDRATADO,2007-07,57333,1.349,0.2888,0.85,2.78,0.2958,0.2142,1.0532,0.271,0.685,2.3141,0.25739999999999996
ETANOL HIDRATADO,2007-08,35706,1.303,0.2975,0.869,2.8,0.274,0.22825,1.029,0.253,0.6899,2.0498,0.246
